date;x;y;z
1573728302597;-1.098926136;1.161835125;-0.506407348
1573728302607;-1.767868478;1.343185752;0.437633159
1573728302617;-1.950596205;0.982611345;1.560614873
1573728302627;-1.330633443;0.372371425;0.267826883
1573728302637;-0.788694605;0.60435466;-0.597851684
1573728302647;-0.431758106;0.94317077;-0.616187374
1573728302656;-0.284114981;1.045671259;-0.676824601
1573728302667;-1.468446274;0.86718276;-1.139052416
1573728302676;-2.186067596;0.770360587;-0.374940749
1573728302687;-2.576290143;0.815486621;0.420223239
1573728302697;-2.122324;0.698357924;0.412793066
1573728302707;-0.763162621;-0.008260835;-0.757690796
1573728302717;-0.779082114;-0.788076105;-0.437600828
1573728302727;-0.500682302;-1.488542702;0.04831447
1573728302737;2.740646595;-0.685179254;-1.386377272
1573728302747;3.801420899;0.478490813;-1.001841543
1573728302757;3.991155959;1.486040484;-0.816796158
1573728302767;3.192924767;2.200142964;-0.760697154
1573728302777;2.140621733;2.480290305;0.831794002
1573728302787;2.049600992;1.876972112;1.247705108
1573728302797;1.685649517;1.50157769;1.427205091
1573728302807;0.965447285;0.971419012;1.019180874
1573728302817;0.511868698;0.746489458;0.294366344
1573728302827;0.026422689;0.65848307;-0.300808061
1573728302837;-0.254673866;0.542109332;-1.022113886
1573728302846;-0.280353568;0.571593349;-2.702406666
1573728302857;0.189435202;-0.109672494;-2.56032049
1573728302867;0.657203569;-1.037757069;-1.741798682
1573728302877;1.307230293;-1.764901853;-1.086981044
1573728302887;1.582085466;-2.790981846;-0.532481182
1573728302897;0.560815315;-2.830378403;1.305501673
1573728302907;-1.390094677;-2.203010455;3.220251908
1573728302917;-3.885518868;-0.950295175;3.388314716
1573728302927;-4.165694682;-0.346518488;2.235642046
1573728302937;-3.164003728;-0.675609566;1.007046199
1573728302947;-1.611829661;-1.230017835;0.162075596
1573728302957;0.579928857;-2.056617112;1.50872065
1573728302967;1.459931025;-1.875136829;1.973121272
1573728302977;1.842152034;-1.668661099;1.655111398
1573728302987;1.964054132;-1.763969788;0.61923606
1573728302997;3.195469828;-3.004756458;-0.270755714
1573728303007;2.786219193;-3.078012472;-0.860166029
1573728303017;2.550755941;-3.30516911;-1.101850856
1573728303027;1.887375993;-3.410279659;-1.571010772
1573728303037;1.417963348;-2.866129802;-1.777786901
1573728303047;0.843235844;-2.18564371;-1.805301778
1573728303057;0.61329698;-1.901743727;-1.965219682
1573728303067;0.000305172;-1.031062569;-1.893956523
1573728303077;-0.015078834;-0.319194576;-1.331290516
1573728303087;-0.257229274;0.388205512;-1.111001041
1573728303097;-0.558209948;1.076708971;-1.36381056
1573728303107;-1.641753405;3.113832234;-3.021732728
1573728303117;-2.75375452;4.32981243;-3.42869676
1573728303127;-3.781261177;5.409857482;-3.631685359
1573728303137;-4.281486297;6.963422943;-2.782764898
1573728303147;-3.317928525;6.045747509;-1.843139638
1573728303157;-2.240624787;5.296285813;-2.271302024
1573728303167;-2.221540738;4.941880945;-3.533205636
1573728303177;0.260711822;0.168751338;-2.964470392
1573728303187;0.545672919;-3.052160947;-0.609444051
1573728303197;-0.544126681;-5.720826887;1.075379635
1573728303207;-0.757082121;-8.284801263;2.055489179
1573728303217;-0.038718523;-4.988291612;0.893570038
1573728303227;0.152899884;-0.006681912;-1.093245242
1573728303237;-0.046231919;3.917314917;-2.284301928
1573728303247;-1.645889039;11.97515976;0.731481035
1573728303257;0.18493195;12.67535181;5.243343613
1573728303267;0.546340717;8.807189712;10.29318534
1573728303277;-1.217799749;0.9012724;9.935389413
1573728303287;4.940396241;-12.67118837;4.332108985
1573728303297;7.016895049;-13.6612157;-0.732784751
1573728303307;8.386959643;-11.9556062;-5.029866305
1573728303317;6.985379482;-4.891003211;-4.958589241
1573728303327;3.36648428;-2.043409792;-0.044211328
1573728303337;0.333462235;-0.577448629;3.718739176
1573728303347;-1.219550517;1.238882238;4.920998688
1573728303357;-2.370023463;4.484724946;3.170654388
1573728303367;-1.666175392;5.074100453;3.195407559
1573728303377;-0.873253605;6.143193021;3.215210477
1573728303387;0.54255131;7.381540501;3.828645356
1573728303397;2.701828981;5.522160501;2.020959574
1573728303407;1.809036656;3.988686348;2.030486074
1573728303417;-1.310891117;2.440128155;3.50910413
1573728303427;-5.814131804;-1.081829971;-1.728292181
